Time [s],F_NEDC,V_NEDC,F_2,V_2,F_1,V_1
73,412.9067,8.88476,-207.02824,13.228476,-819.92487,8.285977
73,412.9067,8.88476,-207.02824,13.228476,-819.92487,8.285977
74,412.9067,8.88476,-212.1724,13.100705,-510.97318,7.949554
74,412.9067,8.88476,-212.1724,13.100705,-510.97318,7.949554
75,412.9067,8.88476,-477.16025,12.906847,-1157.7831,7.4838
75,412.9067,8.88476,-477.16025,12.906847,-1157.7831,7.4838
76,412.9067,8.88476,-830.60254,12.632601,-3336.4138,6.561142
76,412.9067,8.88476,-830.60254,12.632601,-3336.4138,6.561142
77,412.9067,8.88476,-830.4369,12.352055,-7522.7944,4.7418947
77,412.9067,8.88476,-830.4369,12.352055,-7522.7944,4.7418947
78,412.9067,8.88476,-1257.1965,11.974378,-678.9395,4.3401227
78,412.9067,8.88476,-1257.1965,11.974378,-678.9395,4.3401227
79,412.9067,8.88476,-4165.647,10.968979,3677.2676,4.9354496
79,412.9067,8.88476,-4165.647,10.968979,3677.2676,4.9354496
80,412.9067,8.88476,-5191.509,9.711909,4912.1323,5.8397675
80,412.9067,8.88476,-5191.509,9.711909,4912.1323,5.8397675
81,412.9067,8.88476,-5884.196,8.295061,4915.267,6.756403
81,412.9067,8.88476,-5884.196,8.295061,4915.267,6.756403
82,412.9067,8.88476,-6239.5913,6.793746,4801.36,7.646431
82,412.9067,8.88476,-6239.5913,6.793746,4801.36,7.646431
83,412.9067,8.88476,-4999.898,5.5469794,4317.9673,8.429043
83,412.9067,8.88476,-4999.898,5.5469794,4317.9673,8.429043
84,412.9067,8.88476,-3865.4453,4.548857,3318.555,8.994593
84,412.9067,8.88476,-3865.4453,4.548857,3318.555,8.994593
85,412.9067,8.88476,-2904.7683,3.7616866,3445.531,9.576655
85,412.9067,8.88476,-2904.7683,3.7616866,3445.531,9.576655
86,-3232.9817,8.113138,-517.4968,3.4859445,3585.102,10.186371
86,-3232.9817,8.113138,-517.4968,3.4859445,3585.102,10.186371
87,-3242.4473,7.305152,1566.3021,3.6710093,3484.4824,10.770711
87,-3242.4473,7.305152,1566.3021,3.6710093,3484.4824,10.770711
88,-3250.9495,6.497156,2945.8694,4.1635246,3263.2734,11.3007
88,-3250.9495,6.497156,2945.8694,4.1635246,3263.2734,11.3007
89,-3258.4617,5.6891503,5568.075,5.2197833,3014.7988,11.775408
89,-3258.4617,5.6891503,5568.075,5.2197833,3014.7988,11.775408
90,-3264.984,4.8811345,5742.6855,6.3320313,2891.4592,12.221086
90,-3264.984,4.8811345,5742.6855,6.3320313,2891.4592,12.221086
91,-3270.5156,4.073109,3579.8152,6.978091,2234.7085,12.533209
91,-3270.5156,4.073109,3579.8152,6.978091,2234.7085,12.533209
92,-3275.0571,3.2650738,1784.932,7.2099924,2823.4666,12.9717655
92,-3275.0571,3.2650738,1784.932,7.2099924,2823.4666,12.9717655
93,-3278.6084,2.4570284,1185.2281,7.288739,2044.9608,13.257328
93,-3278.6084,2.4570284,1185.2281,7.288739,2044.9608,13.257328
94,-3281.1692,1.6489733,2074.614,7.5457926,2086.5579,13.562468
94,-3281.1692,1.6489733,2074.614,7.5457926,2086.5579,13.562468
95,-3282.7395,0.8409082,2159.4792,7.822833,1951.3232,13.841598
95,-3282.7395,0.8409082,2159.4792,7.822833,1951.3232,13.841598
96,-3283.3196,0.032833196,1500.1389,7.9537487,2113.8337,14.145529
96,-3283.3196,0.032833196,1500.1389,7.9537487,2113.8337,14.145529
96.105965,9.59E-11,-9.59E-16,877.3179,7.956899,1885.9554,14.174298
96.105965,9.59E-11,-9.59E-16,877.3179,7.956899,1885.9554,14.174298
97,9.59E-11,-9.59E-16,810.1197,7.9316044,1852.3943,14.398143
97,9.59E-11,-9.59E-16,810.1197,7.9316044,1852.3943,14.398143
98,9.59E-11,-9.59E-16,-202.6085,7.686623,1922.2906,14.675221
98,9.59E-11,-9.59E-16,-202.6085,7.686623,1922.2906,14.675221
99,9.59E-11,-9.59E-16,-2520.457,6.9377933,1018.9188,14.823144
99,9.59E-11,-9.59E-16,-2520.457,6.9377933,1018.9188,14.823144
100,9.59E-11,-9.59E-16,-1052.281,6.4774175,1772.7295,15.093384
100,9.59E-11,-9.59E-16,-1052.281,6.4774175,1772.7295,15.093384
101,9.59E-11,-9.59E-16,-1760.9225,5.8825564,1302.7177,15.236973
101,9.59E-11,-9.59E-16,-1760.9225,5.8825564,1302.7177,15.236973
102,9.59E-11,-9.59E-16,-1582.9141,5.3194623,1527.0419,15.401396
102,9.59E-11,-9.59E-16,-1582.9141,5.3194623,1527.0419,15.401396
103,9.59E-11,-9.59E-16,-1704.991,4.7331886,1238.9279,15.487611
103,9.59E-11,-9.59E-16,-1704.991,4.7331886,1238.9279,15.487611
104,9.59E-11,-9.59E-16,-440.76013,4.4141297,1212.2499,15.571211
104,9.59E-11,-9.59E-16,-440.76013,4.4141297,1212.2499,15.571211
105,9.59E-11,-9.59E-16,1253.5977,4.4666305,1097.2913,15.627916
105,9.59E-11,-9.59E-16,1253.5977,4.4666305,1097.2913,15.627916
106,9.59E-11,-9.59E-16,795.62524,4.436488,1072.8865,15.683716
106,9.59E-11,-9.59E-16,795.62524,4.436488,1072.8865,15.683716
107,9.59E-11,-9.59E-16,1022.73517,4.4488006,1243.2506,15.765346
107,9.59E-11,-9.59E-16,1022.73517,4.4488006,1243.2506,15.765346
108,9.59E-11,-9.59E-16,1091.881,4.48007,1530.236,15.901364
108,9.59E-11,-9.59E-16,1091.881,4.48007,1530.236,15.901364
109,9.59E-11,-9.59E-16,971.6609,4.486811,678.9346,15.8543215
109,9.59E-11,-9.59E-16,971.6609,4.486811,678.9346,15.8543215
110,9.59E-11,-9.59E-16,883.3496,4.473083,935.96423,15.851751
110,9.59E-11,-9.59E-16,883.3496,4.473083,935.96423,15.851751
111,9.59E-11,-9.59E-16,699.82806,4.420085,1298.5376,15.931459
111,9.59E-11,-9.59E-16,699.82806,4.420085,1298.5376,15.931459
112,9.59E-11,-9.59E-16,785.09143,4.381788,1016.3674,15.93428
112,9.59E-11,-9.59E-16,785.09143,4.381788,1016.3674,15.93428
113,9.59E-11,-9.59E-16,1590.234,4.512631,1160.0117,15.960622
113,9.59E-11,-9.59E-16,1590.234,4.512631,1160.0117,15.960622
114,9.59E-11,-9.59E-16,2273.9263,4.791694,1316.3507,16.014614
114,9.59E-11,-9.59E-16,2273.9263,4.791694,1316.3507,16.014614
115,9.59E-11,-9.59E-16,1030.2482,4.806792,1105.9974,16.016718
115,9.59E-11,-9.59E-16,1030.2482,4.806792,1105.9974,16.016718
116,9.59E-11,-9.59E-16,800.2956,4.7516193,1178.5789,16.015991
116,9.59E-11,-9.59E-16,800.2956,4.7516193,1178.5789,16.015991
117,9.59E-11,-9.59E-16,942.65015,4.7127957,1558.8389,16.095522
117,9.59E-11,-9.59E-16,942.65015,4.7127957,1558.8389,16.095522
117.00508,353.0394,-9.58E-16,1024.704,4.712654,1519.1318,16.09592
117.00508,353.0394,-9.58E-16,1024.704,4.712654,1519.1318,16.09592
117.00508,353.03986,1.01E-10,1024.7041,4.712654,1519.1317,16.09592
117.00508,353.03986,1.01E-10,1024.7041,4.712654,1519.1317,16.09592
118,3478.2712,0.6596617,1741.8678,4.8383646,1219.5747,16.098915
118,3478.2712,0.6596617,1741.8678,4.8383646,1219.5747,16.098915
119,3479.3672,1.3540952,1638.422,4.9462047,1793.7021,16.204285
119,3479.3672,1.3540952,1638.422,4.9462047,1793.7021,16.204285
120,3481.1265,2.048522,995.18,4.9126205,1001.3082,16.128876
120,3481.1265,2.048522,995.18,4.9126205,1001.3082,16.128876
121,3483.617,2.7429416,1972.9755,5.0765257,1762.3545,16.2046
121,3483.617,2.7429416,1972.9755,5.0765257,1762.3545,16.2046
122,3486.8389,3.4373538,3355.0144,5.5435305,1367.8466,16.208544
122,3486.8389,3.4373538,3355.0144,5.5435305,1367.8466,16.208544
123,3490.792,4.1317587,3812.1885,6.1144085,1527.3251,16.234726
123,3490.792,4.1317587,3812.1885,6.1144085,1527.3251,16.234726
124,2641.9387,4.645298,3569.0315,6.6257014,1674.8832,16.288807
124,2641.9387,4.645298,3569.0315,6.6257014,1674.8832,16.288807
125,2645.707,5.1503105,2741.7068,6.931752,1309.7057,16.26468
